ID,Organisation,Sector,Subsector,Service,Province_CODE,Municipality_CODE,Barangay,Status,Beneficiaries,Beneficiary_type
1,PRC,Relief,Food Items,Food Items (Standard),155,15501,,Finished,134,families
2,PRC,Relief,Ready-to-Eat,Hot Meals,133,13301,San Isidro,Finished,71,individuals
3,PRC,Assessment,Assessment,RDANA,133,13301,,Finished,1,area
4,PRC,Assessment,Assessment,RDANA,215,21502,,Finished,1,area
5,PRC,Health,Health,First Aid Station,215,21502,Malalatan,Finished,1,area
6,PRC,Relief,Food Items,Food Items (Standard),215,21502,Malalatan,Finished,313,families
7,ICRC,Shelter,Shelter Tool Kits,Tarpaulins,215,21502,Centro,Finished,25,Families
8,ICRC,Shelter,Shelter Tool Kits,Shelter Tool Kits,215,21502,Centro,Finished,25,Families
9,ICRC,Shelter,Shelter Tool Kits,Tarpaulins,215,21502,Daloig,Finished,569,Families
10,ICRC,Shelter,Shelter Tool Kits,Shelter Tool Kits,215,21502,Daloig,Finished,569,Families
11,PRC,Health,PSS,Welfare Desk,215,21502,Daloig,Finished,,
12,IFRC,WASH,Hygiene Promotion,Hygiene Promotion,215,21502,Daloig,Finished,569,individuals
13,PRC,Health,Health,First Aid Station,215,21502,Daloig,Finished,1,area
14,ICRC,Shelter,Shelter Tool Kits,Tarpaulins,215,21502,Calantac,Finished,579,Families
15,ICRC,Shelter,Shelter Tool Kits,Shelter Tool Kits,215,21502,Calantac,Finished,579,Families
16,PRC,Health,PSS,Welfare Desk,215,21502,Calantac,Finished,,
17,IFRC,WASH,Hygiene Promotion,Hygiene Promotion,215,21502,Calantac,Finished,579,individuals
18,PRC,Health,Health,First Aid Station,215,21502,Calantac,Finished,1,area
19,IFRC,Livelihood,Cash,"Conditional Cash Grant (PHP10,000.00)",215,21502,Afusing Daga,Finished,43,households
20,Spanish Red Cross,Relief,Cash,"Multi-Purpose Cash Grant (PHP3,500)",1427,142707,Calupaan,Finished,13,families
21,Spanish Red Cross,Relief,Cash,"Multi-Purpose Cash Grant (PHP3,500)",1427,142707,Namnama,Finished,18,families
22,Spanish Red Cross,Relief,Cash,"Multi-Purpose Cash Grant (PHP3,500)",1427,142707,San Juan,Finished,41,families
23,Spanish Red Cross,Relief,Cash,"Multi-Purpose Cash Grant (PHP3,500)",1427,142707,Sto. Domingo,Finished,1,families
24,Spanish Red Cross,Relief,Cash,"Multi-Purpose Cash Grant (PHP3,500)",1427,142707,Caragasan,Finished,13,families
25,Spanish Red Cross,Relief,Cash,"Multi-Purpose Cash Grant (PHP3,500)",1427,142707,Killing,Finished,11,families
26,Spanish Red Cross,Relief,Cash,"Multi-Purpose Cash Grant (PHP3,500)",1427,142707,Pinto,Finished,15,families
27,Spanish Red Cross,Relief,Cash,"Multi-Purpose Cash Grant (PHP3,500)",1427,142707,Sta Maria,Finished,2,families
28,Spanish Red Cross,Relief,Cash,"Multi-Purpose Cash Grant (PHP3,500)",1427,142707,Bangar,Finished,4,families
29,Spanish Red Cross,Relief,Cash,"Multi-Purpose Cash Grant (PHP3,500)",1427,142707,Calimag,Finished,2,families
30,Spanish Red Cross,Relief,Cash,"Multi-Purpose Cash Grant (PHP3,500)",1427,142707,Dolowog,Finished,2,families
31,Spanish Red Cross,Relief,Cash,"Multi-Purpose Cash Grant (PHP3,500)",1427,142707,Namillangan,Finished,10,families
32,Spanish Red Cross,Relief,Cash,"Multi-Purpose Cash Grant (PHP3,500)",1427,142707,Potia,Finished,1,families
33,Spanish Red Cross,Relief,Cash,"Multi-Purpose Cash Grant (PHP3,500)",1427,142707,San Jose,Finished,14,families
34,Spanish Red Cross,Relief,Cash,"Multi-Purpose Cash Grant (PHP3,500)",1427,142707,San Marcos,Finished,5,families
35,Spanish Red Cross,Relief,Cash,"Multi-Purpose Cash Grant (PHP3,500)",1427,142707,San Quintin,Finished,7,families
36,Spanish Red Cross,Relief,Cash,"Multi-Purpose Cash Grant (PHP3,500)",1427,142707,Sta. Maria,Finished,1,families
37,ICRC,Shelter,Shelter Tool Kits,Tarpaulins,215,21503,Silagan,Finished,161,Families
38,ICRC,Shelter,Shelter Tool Kits,Shelter Tool Kits,215,21503,Silagan,Finished,161,Families
39,ICRC,Shelter,Shelter Tool Kits,Tarpaulins,215,21503,Tamboli,Finished,107,Families
40,ICRC,Shelter,Shelter Tool Kits,Shelter Tool Kits,215,21503,Tamboli,Finished,107,Families
41,PRC,Health,Health,First Aid Station,215,21503,Silagan,Finished,1,area
42,IFRC,Relief,Cash,"Multi-Purpose Cash Grant (PHP3,500)",215,21503,CapanickianNS,Finished,24,families
43,IFRC,Relief,Cash,"Multi-Purpose Cash Grant (PHP3,500)",215,21503,Dagupan,Finished,67,families
44,IFRC,Relief,Cash,"Multi-Purpose Cash Grant (PHP3,500)",215,21503,Silagan,Finished,32,families
45,IFRC,Relief,Cash,"Multi-Purpose Cash Grant (PHP3,500)",215,21503,Capagaran,Finished,11,families
46,IFRC,Relief,Cash,"Multi-Purpose Cash Grant (PHP3,500)",215,21503,Iringa,Finished,26,families
47,IFRC,Relief,Cash,"Multi-Purpose Cash Grant (PHP3,500)",215,21503,Binubungan,Finished,13,families
48,IFRC,Relief,Cash,"Multi-Purpose Cash Grant (PHP3,500)",215,21503,Cataratan,Finished,44,families
49,IFRC,Relief,Cash,"Multi-Purpose Cash Grant (PHP3,500)",215,21503,Labben,Finished,23,families
50,IFRC,Relief,Cash,"Multi-Purpose Cash Grant (PHP3,500)",215,21503,Dalayap,Finished,21,families
51,PRC,WASH,Sanitation,Clearing operations,215,21504,Anaffatan,Finished,1,community
52,PRC,WASH,Sanitation,Clearing operations,215,21504,Amulung West,Finished,1,community
53,PRC,WASH,Sanitation,Clearing operations,215,21504,Nagalasuan,Finished,1,community
54,PRC,WASH,Sanitation,Clearing operations,215,21504,Nagalasuan,Finished,1,community
55,PRC,WASH,Sanitation,Clearing operations,215,21504,Cordova,Finished,1,community
56,Qatar Red Crescent Society,Shelter,Shelter Repair Assistance,Shelter Tool Kits,215,21504,Centro,Finished,69,families
57,IFRC,Shelter,Shelter Repair Assistance,CGI,215,21504,Centro,Finished,69,families
58,PRC,Relief,Ready-to-Eat,Biscuits,215,21504,centro,Finished,105,individuals
59,PRC,Health,PSS,PSP,215,21504,centro,Finished,42,individuals
60,PRC,WASH,Hygiene Promotion,Hygiene Promotion,215,21504,Centro,Finished,42,individuals
61,Spanish Red Cross - AECID,WASH,Water,Water,215,21504,Cordova,Finished,5000,liters
62,PRC,WASH,Hygiene Promotion,Hygiene Promotion,215,21504,Centro,Finished,303,individuals
63,PRC,Health,Health,First Aid Station,215,21504,Centro,Finished,1,area
64,Qatar Red Crescent Society,Shelter,Shelter Repair Assistance,Shelter Tool Kits,215,21504,Centro,Finished,83,families
65,IFRC,Shelter,Shelter Repair Assistance,CGI,215,21504,Centro,Finished,83,families
66,ICRC,Shelter,Shelter Tool Kits,Tarpaulins,215,21504,Alituntung,Finished,116,Families
67,ICRC,Shelter,Shelter Tool Kits,Shelter Tool Kits,215,21504,Alituntung,Finished,116,Families
68,PRC,Health,PSS,Welfare Desk,215,21504,Alituntung,Finished,,
69,PRC,Relief,Ready-to-Eat,Biscuits,215,21504,Alituntung,Finished,45,Individuals
70,PRC,Health,PSS,PSP,215,21504,Alituntung,Finished,34,Individuals
71,ICRC,Shelter,Shelter Tool Kits,Tarpaulins,215,21504,Pacac Grande,Finished,230,Families
72,ICRC,Shelter,Shelter Tool Kits,Shelter Tool Kits,215,21504,Pacac Grande,Finished,230,Families
73,PRC,Health,PSS,Welfare Desk,215,21504,Pacac Grande,Finished,,
74,PRC,WASH,Hygiene Promotion,Hygiene Promotion,215,21504,Pacac Grande,Finished,52,Individuals
75,ICRC,Shelter,Shelter Tool Kits,Tarpaulins,215,21504,Pacac Pequeno,Finished,221,Families
76,ICRC,Shelter,Shelter Tool Kits,Shelter Tool Kits,215,21504,Pacac Pequeno,Finished,221,Families
